dt,AverageTemperature,AverageTemperatureUncertainty,Country
1743-11-01,7.106,1.855,Belgium
1743-12-01,,,Belgium
1744-01-01,,,Belgium
1744-02-01,,,Belgium
1744-03-01,,,Belgium
1744-04-01,9.159,2.577,Belgium
1744-05-01,12.134,1.604,Belgium
1744-06-01,15.338,1.685,Belgium
1744-07-01,16.738,1.791,Belgium
1744-08-01,,,Belgium
1744-09-01,13.732000000000001,1.812,Belgium
1744-10-01,9.937999999999999,1.798,Belgium
1744-11-01,5.931,1.651,Belgium
1744-12-01,2.478,1.853,Belgium
1745-01-01,0.5940000000000001,1.841,Belgium
1745-02-01,0.908,1.629,Belgium
1745-03-01,4.0619999999999985,1.492,Belgium
1745-04-01,8.325,1.519,Belgium
1745-05-01,,,Belgium
1745-06-01,,,Belgium
1745-07-01,,,Belgium
1745-08-01,,,Belgium
1745-09-01,,,Belgium
1745-10-01,,,Belgium
1745-11-01,,,Belgium
1745-12-01,,,Belgium
1746-01-01,,,Belgium
1746-02-01,,,Belgium
1746-03-01,,,Belgium
1746-04-01,,,Belgium
1746-05-01,,,Belgium
1746-06-01,,,Belgium
1746-07-01,,,Belgium
1746-08-01,,,Belgium
1746-09-01,,,Belgium
1746-10-01,,,Belgium
1746-11-01,,,Belgium
1746-12-01,,,Belgium
1747-01-01,,,Belgium
1747-02-01,,,Belgium
1747-03-01,,,Belgium
1747-04-01,,,Belgium
1747-05-01,,,Belgium
1747-06-01,,,Belgium
1747-07-01,,,Belgium
1747-08-01,,,Belgium
1747-09-01,,,Belgium
1747-10-01,,,Belgium
1747-11-01,,,Belgium
1747-12-01,,,Belgium
1748-01-01,,,Belgium
1748-02-01,,,Belgium
1748-03-01,,,Belgium
1748-04-01,,,Belgium
1748-05-01,,,Belgium
1748-06-01,,,Belgium
1748-07-01,,,Belgium
1748-08-01,,,Belgium
1748-09-01,,,Belgium
1748-10-01,,,Belgium
1748-11-01,,,Belgium
1748-12-01,,,Belgium
1749-01-01,,,Belgium
1749-02-01,,,Belgium
1749-03-01,,,Belgium
1749-04-01,,,Belgium
1749-05-01,,,Belgium
1749-06-01,,,Belgium
1749-07-01,,,Belgium
1749-08-01,,,Belgium
1749-09-01,,,Belgium
1749-10-01,,,Belgium
1749-11-01,,,Belgium
1749-12-01,,,Belgium
1750-01-01,1.1709999999999998,1.386,Belgium
1750-02-01,5.49,2.146,Belgium
1750-03-01,8.131,2.544,Belgium
1750-04-01,8.927999999999997,1.3869999999999998,Belgium
1750-05-01,13.186,1.662,Belgium
1750-06-01,15.904000000000002,1.612,Belgium
1750-07-01,19.1,1.5930000000000002,Belgium
1750-08-01,17.114,1.3630000000000002,Belgium
1750-09-01,14.794,1.392,Belgium
1750-10-01,7.873000000000001,1.499,Belgium
1750-11-01,,,Belgium
1750-12-01,2.064,1.76,Belgium
1751-01-01,1.7990000000000002,1.784,Belgium
1751-02-01,0.07599999999999962,2.234,Belgium
1751-03-01,6.787000000000001,1.851,Belgium
1751-04-01,7.8969999999999985,1.48,Belgium
1751-05-01,,,Belgium
1751-06-01,16.459,1.753,Belgium
1751-07-01,17.529,1.463,Belgium
1751-08-01,17.394000000000002,1.337,Belgium
1751-09-01,13.232000000000001,1.3,Belgium
1751-10-01,,,Belgium
1751-11-01,,,Belgium
1751-12-01,,,Belgium
1752-01-01,1.864,2.568,Belgium
1752-02-01,,,Belgium
1752-03-01,6.0939999999999985,1.971,Belgium
1752-04-01,8.269,1.962,Belgium
1752-05-01,,,Belgium
1752-06-01,,,Belgium
1752-07-01,,,Belgium
1752-08-01,,,Belgium
1752-09-01,,,Belgium
1752-10-01,9.675,1.735,Belgium
1752-11-01,6.567,1.605,Belgium
1752-12-01,3.895,1.654,Belgium
1753-01-01,-1.215,8.118,Belgium
1753-02-01,2.443,3.353,Belgium
1753-03-01,6.837999999999999,3.809,Belgium
1753-04-01,8.825999999999997,7.752000000000002,Belgium
1753-05-01,13.042,1.974,Belgium
1753-06-01,17.602,3.58,Belgium
1753-07-01,18.072,2.269,Belgium
1753-08-01,16.203,7.875,Belgium
1753-09-01,14.761,1.47,Belgium
1753-10-01,10.332,1.588,Belgium
1753-11-01,4.143000000000002,3.219,Belgium
